traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,OTHER OBJECT,PARKING LOT,STRAIGHT ON HILLCREST,ICE,HOLES,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",6,NO INDICATION OF INJURY,10,0,0,18,9,41,19,7,5
UNKNOWN,SOIL,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,NOT DIVIDED,CURVE ON GRADE,UNKNOWN,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,10,"REPORTED, NOT EVIDENT",1,3,0,12,5,38,7,4,9
OTHER,SNOW,UNKNOWN,OTHER OBJECT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DIRT,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,4,NO INDICATION OF INJURY,7,2,6,7,9,36,16,4,4
POLICE/FLAGMAN,FOG/SMOKE/HAZE,UNKNOWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,WET,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",7,NONINCAPACITATING INJURY,19,3,6,6,0,33,21,4,6
POLICE/FLAGMAN,DIRT,LIGHTED ROAD,OVERTURNED,ROUN,LEVEL,SAND,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",FAILING TO YIELD RIGHT-OF-WAY,5,NO INDICATION OF INJURY,1,2,7,6,15,29,10,3,7
OTHER RAILROAD CROSSING,RAIN,LIGHTED ROAD,OTHER OBJECT,NOT DIVIDED,LEVEL,ICE,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,IMPROPER BACKING,1,"REPORTED, NOT EVIDENT",0,2,7,3,5,11,5,3,6
BICYCLE CROSSING SIGN,CLOUDY/OVERCAST,DARKNESS,REAR TO SIDE,T-INTERSECTION,STRAIGHT ON HILLCREST,ICE,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,11,"REPORTED, NOT EVIDENT",6,2,3,19,12,22,12,4,6
DELINEATORS,FREEZING RAIN/DRIZZLE,DAWN,OTHER NONCOLLISION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,MUD,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING YIELD SIGN,6,"REPORTED, NOT EVIDENT",9,2,2,12,6,3,1,7,2
SCHOOL ZONE,CLEAR,UNKNOWN,ANGLE,ALLEY,STRAIGHT ON HILLCREST,ICE,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",NOT APPLICABLE,8,NONINCAPACITATING INJURY,4,3,5,7,9,29,8,1,8
OTHER,BLOWING SNOW,UNKNOWN,PARKED MOTOR VEHICLE,"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DIRT,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING STOP SIGN,1,FATAL,9,0,2,14,9,11,22,3,10
OTHER RAILROAD CROSSING,SOIL,LIGHTED ROAD,REAR END,L-INTERSECTION,LEVEL,MUD,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING ROAD MARKINGS,6,"REPORTED, NOT EVIDENT",16,0,4,3,9,35,19,2,3
OTHER REG. SIGN,SNOW,DAWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,SAND,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",8,FATAL,10,0,6,3,4,34,13,1,11
UNKNOWN,CLOUDY/OVERCAST,DAWN,PARKED MOTOR VEHICLE,Y-INTERSECTION,CURVE,OTHER,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",IMPROPER OVERTAKING/PASSING,3,NO INDICATION OF INJURY,8,2,3,18,10,33,14,7,5
RAILROAD CROSSING GATE,CLOUDY/OVERCAST,LIGHTED ROAD,ANIMAL,ONE-WAY,CURVE ON GRADE,MUD,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",2,FATAL,8,0,4,19,7,9,8,7,12
RR CROSSING SIGN,UNKNOWN,DAYLIGHT,ANGLE,UNKNOWN INTERSECTION TYPE,CURVE ON HILLCREST,UNKNOWN,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISREGARDING YIELD SIGN,5,FATAL,6,2,6,14,2,27,5,3,12
POLICE/FLAGMAN,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,L-INTERSECTION,STRAIGHT ON HILLCREST,SNOW OR SLUSH,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",NOT APPLICABLE,7,NONINCAPACITATING INJURY,7,0,5,20,11,48,22,1,11
OTHER WARNING SIGN,CLOUDY/OVERCAST,LIGHTED ROAD,OTHER NONCOLLISION,OTHER,CURVE ON GRADE,ICE,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,9,FATAL,11,0,7,19,14,8,20,5,3
SCHOOL ZONE,BLOWING SNOW,DUSK,REAR TO REAR,CENTER TURN LANE,CURVE ON HILLCREST,DRY,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,NOT APPLICABLE,10,INCAPACITATING INJURY,17,1,4,6,0,29,7,1,1
OTHER,FOG/SMOKE/HAZE,DARKNESS,SIDESWIPE SAME DIRECTION,T-INTERSECTION,CURVE ON GRADE,DIRT,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",UNABLE TO DETERMINE,9,NO INDICATION OF INJURY,1,1,4,14,13,26,13,5,6
FLASHING CONTROL SIGNAL,CLEAR,DAWN,OTHER NONCOLLISION,ALLEY,STRAIGHT ON GRADE,OTHER,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",6,INCAPACITATING INJURY,11,1,1,21,14,14,20,3,11
PEDESTRIAN CROSSING SIGN,FREEZING RAIN/DRIZZLE,DAWN,SIDESWIPE SAME DIRECTION,OTHER,CURVE ON GRADE,MUD,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",EQUIPMENT - VEHICLE CONDITION,3,NO INDICATION OF INJURY,4,0,4,5,6,49,7,7,8
OTHER RAILROAD CROSSING,DIRT,DARKNESS,SIDESWIPE SAME DIRECTION,PARKING LOT,CURVE,OTHER,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",WEATHER,3,NO INDICATION OF INJURY,11,1,4,2,3,11,1,1,6
OTHER WARNING SIGN,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,L-INTERSECTION,CURVE ON GRADE,DIRT,OTHER,NO INJURY / DRIVE AWAY,N,$500 OR LESS,BICYCLE ADVANCING LEGALLY ON RED LIGHT,11,NO INDICATION OF INJURY,1,0,6,14,14,25,17,5,7
NO PASSING,BLOWING SNOW,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISTRACTION - FROM OUTSIDE VEHICLE,7,NONINCAPACITATING INJURY,8,3,5,15,8,5,3,3,6
POLICE/FLAGMAN,OTHER,DARKNESS,FIXED OBJECT,UNKNOWN INTERSECTION TYPE,CURVE ON HILLCREST,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,3,NONINCAPACITATING INJURY,1,3,2,9,4,21,17,7,3
OTHER REG. SIGN,SLEET/HAIL,DARKNESS,HEAD ON,FOUR WAY,LEVEL,SNOW OR SLUSH,UNKNOWN,NO INJURY / DRIVE AWAY,N,$500 OR LESS,CELL PHONE USE OTHER THAN TEXTING,5,FATAL,1,2,6,16,2,18,19,7,8
BICYCLE CROSSING SIGN,SNOW,DAYLIGHT,REAR TO SIDE,L-INTERSECTION,LEVEL,MUD,HOLES,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,10,NO INDICATION OF INJURY,10,0,2,13,13,20,23,1,7
OTHER WARNING SIGN,CLOUDY/OVERCAST,DAWN,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,WET,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,7,"REPORTED, NOT EVIDENT",8,0,4,11,11,16,18,6,4
POLICE/FLAGMAN,UNKNOWN,LIGHTED ROAD,OVERTURNED,TRAFFIC ROUTE,LEVEL,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,4,FATAL,19,2,4,16,13,26,16,4,10
OTHER RAILROAD CROSSING,CLEAR,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,OTHER,STRAIGHT ON GRADE,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,4,INCAPACITATING INJURY,8,2,6,21,15,0,17,5,2
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,REAR TO SIDE,UNKNOWN INTERSECTION TYPE,STRAIGHT ON HILLCREST,OTHER,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,7,"REPORTED, NOT EVIDENT",7,2,1,15,8,44,17,3,1
BICYCLE CROSSING SIGN,BLOWING SNOW,DAWN,PARKED MOTOR VEHICLE,UNKNOWN,STRAIGHT ON HILLCREST,MUD,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",7,NO INDICATION OF INJURY,16,1,5,4,15,43,20,4,3
DELINEATORS,DIRT,LIGHTED ROAD,ANGLE,ROUN,CURVE ON GRADE,WET,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,10,INCAPACITATING INJURY,4,2,4,13,10,16,7,1,8
BICYCLE CROSSING SIGN,UNKNOWN,LIGHTED ROAD,SIDESWIPE OPPOSITE DIRECTION,OTHER,CURVE ON HILLCREST,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",6,"REPORTED, NOT EVIDENT",9,3,2,12,15,16,23,1,10
STOP SIGN/FLASHER,OTHER,DUSK,HEAD ON,RAMP,LEVEL,MUD,NO DEFECTS,NO INJURY / DRIVE AWAY,N,$500 OR LESS,OBSTRUCTED CROSSWALKS,4,FATAL,17,3,5,0,5,9,0,4,4
RR CROSSING SIGN,SEVERE CROSS WIND GATE,DUSK,FIXED OBJECT,L-INTERSECTION,CURVE,MUD,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",PASSING STOPPED SCHOOL BUS,1,NO INDICATION OF INJURY,14,0,7,7,13,23,23,1,12
FLASHING CONTROL SIGNAL,BLOWING SNOW,DAWN,TURNING,ONE-WAY,CURVE ON HILLCREST,WET,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",NOT APPLICABLE,6,NO INDICATION OF INJURY,3,3,4,20,13,5,13,1,11
DELINEATORS,RAIN,DARKNESS,HEAD ON,ONE-WAY,STRAIGHT ON HILLCREST,SNOW OR SLUSH,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,3,FATAL,1,3,7,17,10,45,3,7,2
NO PASSING,BLOWING SAND,UNKNOWN,REAR END,UNKNOWN INTERSECTION TYPE,LEVEL,SNOW OR SLUSH,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,8,"REPORTED, NOT EVIDENT",8,2,6,0,12,16,12,3,9
SCHOOL ZONE,DIRT,DAWN,TRAIN,L-INTERSECTION,LEVEL,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",TURNING RIGHT ON RED,3,NONINCAPACITATING INJURY,3,2,1,21,7,2,4,1,11
SCHOOL ZONE,BLOWING SAND,DAWN,ANGLE,RAMP,CURVE ON GRADE,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISREGARDING TRAFFIC SIGNALS,10,NONINCAPACITATING INJURY,19,2,7,21,11,25,20,3,7
LANE USE MARKING,SLEET/HAIL,DUSK,ANIMAL,DIVIDED - W/MEDIAN BARRIER,LEVEL,ICE,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,5,NONINCAPACITATING INJURY,0,2,5,1,3,22,3,4,9
SCHOOL ZONE,SOIL,DAYLIGHT,SIDESWIPE SAME DIRECTION,T-INTERSECTION,CURVE ON HILLCREST,SAND,OTHER,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,10,"REPORTED, NOT EVIDENT",12,0,1,1,14,27,3,7,3
POLICE/FLAGMAN,UNKNOWN,LIGHTED ROAD,PEDALCYCLIST,ROUN,CURVE ON GRADE,SNOW OR SLUSH,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",UNABLE TO DETERMINE,9,"REPORTED, NOT EVIDENT",16,0,2,4,12,46,20,4,6
DELINEATORS,FREEZING RAIN/DRIZZLE,DAWN,PARKED MOTOR VEHICLE,Y-INTERSECTION,STRAIGHT ON GRADE,WET,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,2,NO INDICATION OF INJURY,13,1,7,10,13,18,4,2,6
OTHER,RAIN,DUSK,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON GRADE,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,10,FATAL,17,1,0,11,2,32,7,4,12
LANE USE MARKING,UNKNOWN,DUSK,TRAIN,CENTER TURN LANE,CURVE,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",IMPROPER BACKING,11,"REPORTED, NOT EVIDENT",17,1,7,17,5,5,4,2,12
LANE USE MARKING,FREEZING RAIN/DRIZZLE,DUSK,ANIMAL,RAMP,STRAIGHT ON GRADE,SAND,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING YIELD SIGN,7,INCAPACITATING INJURY,11,2,6,13,14,47,4,4,3
UNKNOWN,BLOWING SNOW,LIGHTED ROAD,FIXED OBJECT,NOT DIVIDED,CURVE,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,TURNING RIGHT ON RED,2,INCAPACITATING INJURY,16,2,5,5,2,45,10,5,3
OTHER RAILROAD CROSSING,SNOW,UNKNOWN,REAR TO REAR,OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",10,INCAPACITATING INJURY,1,1,4,8,5,26,21,7,5
LANE USE MARKING,BLOWING SNOW,DUSK,SIDESWIPE OPPOSITE DIRECTION,UNKNOWN,CURVE,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",IMPROPER OVERTAKING/PASSING,5,NO INDICATION OF INJURY,8,0,5,17,2,3,23,6,5
OTHER RAILROAD CROSSING,CLOUDY/OVERCAST,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,RAMP,STRAIGHT ON GRADE,OTHER,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",6,NO INDICATION OF INJURY,5,1,5,12,12,7,6,3,10
POLICE/FLAGMAN,CLEAR,DAWN,HEAD ON,L-INTERSECTION,LEVEL,WET,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"$501 - $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",1,NONINCAPACITATING INJURY,6,1,5,4,9,33,11,2,2
NO CONTROLS,FREEZING RAIN/DRIZZLE,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,ICE,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),6,FATAL,10,0,0,5,2,4,16,7,2
STOP SIGN/FLASHER,UNKNOWN,DAYLIGHT,REAR TO FRONT,Y-INTERSECTION,STRAIGHT ON GRADE,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,9,FATAL,1,1,0,8,9,7,18,2,9
TRAFFIC SIGNAL,SNOW,DAYLIGHT,ANGLE,DRIVEWAY,CURVE,UNKNOWN,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",ROAD CONSTRUCTION/MAINTENANCE,9,NONINCAPACITATING INJURY,16,1,3,21,0,35,8,2,7
SCHOOL ZONE,UNKNOWN,UNKNOWN,REAR TO REAR,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,SNOW OR SLUSH,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",PHYSICAL CONDITION OF DRIVER,4,NO INDICATION OF INJURY,17,1,0,4,11,23,19,3,1
DELINEATORS,BLOWING SAND,DARKNESS,HEAD ON,FOUR WAY,CURVE ON GRADE,WET,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",ROAD ENGINEERING/SURFACE/MARKING DEFECTS,10,"REPORTED, NOT EVIDENT",3,3,3,15,14,29,16,2,2
SCHOOL ZONE,DIRT,DARKNESS,REAR END,UNKNOWN INTERSECTION TYPE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",CELL PHONE USE OTHER THAN TEXTING,7,INCAPACITATING INJURY,10,3,4,20,13,28,3,3,8
OTHER WARNING SIGN,DIRT,DAWN,PARKED MOTOR VEHICLE,UNKNOWN,STRAIGHT ON GRADE,UNKNOWN,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISREGARDING ROAD MARKINGS,9,INCAPACITATING INJURY,15,3,4,9,6,8,13,7,5
YIELD,FOG/SMOKE/HAZE,DAWN,OTHER NONCOLLISION,NOT DIVIDED,STRAIGHT ON GRADE,OTHER,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",10,"REPORTED, NOT EVIDENT",12,1,4,3,10,20,2,1,9
DELINEATORS,BLOWING SAND,DARKNESS,REAR END,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,SAND,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING STOP SIGN,1,"REPORTED, NOT EVIDENT",18,3,6,19,13,1,2,7,9
BICYCLE CROSSING SIGN,SNOW,DAWN,FIXED OBJECT,NOT DIVIDED,STRAIGHT AND LEVEL,OTHER,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,5,FATAL,15,1,4,3,12,34,11,4,2
YIELD,OTHER,DAYLIGHT,ANIMAL,NOT DIVIDED,LEVEL,OTHER,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,4,NO INDICATION OF INJURY,16,2,5,21,11,7,20,6,7
NO PASSING,BLOWING SAND,DARKNESS,ANGLE,L-INTERSECTION,CURVE,UNKNOWN,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,2,FATAL,1,3,7,21,14,33,11,1,2
OTHER WARNING SIGN,SLEET/HAIL,LIGHTED ROAD,HEAD ON,TRAFFIC ROUTE,CURVE ON HILLCREST,OTHER,UNKNOWN,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISREGARDING ROAD MARKINGS,1,NO INDICATION OF INJURY,1,3,0,8,8,32,3,2,6
RR CROSSING SIGN,CLOUDY/OVERCAST,DAYLIGHT,TRAIN,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,MUD,RUT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,FOLLOWING TOO CLOSELY,3,INCAPACITATING INJURY,7,1,5,10,3,10,20,2,11
FLASHING CONTROL SIGNAL,CLOUDY/OVERCAST,DUSK,FIXED OBJECT,PARKING LOT,STRAIGHT AND LEVEL,OTHER,OTHER,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DRIVING ON WRONG SIDE/WRONG WAY,11,INCAPACITATING INJURY,8,0,6,20,13,3,5,6,3
OTHER REG. SIGN,BLOWING SAND,DARKNESS,REAR TO SIDE,Y-INTERSECTION,STRAIGHT ON GRADE,UNKNOWN,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"OVER $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",5,"REPORTED, NOT EVIDENT",15,2,4,18,5,17,13,5,2
LANE USE MARKING,CLEAR,DUSK,REAR TO FRONT,OTHER,STRAIGHT ON HILLCREST,SAND,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,10,INCAPACITATING INJURY,0,3,4,0,3,25,22,4,11
LANE USE MARKING,DIRT,DARKNESS,PARKED MOTOR VEHICLE,PARKING LOT,LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISREGARDING ROAD MARKINGS,1,NONINCAPACITATING INJURY,8,3,6,3,2,7,7,5,8
DELINEATORS,CLOUDY/OVERCAST,DARKNESS,REAR TO FRONT,TRAFFIC ROUTE,CURVE ON HILLCREST,SNOW OR SLUSH,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,2,"REPORTED, NOT EVIDENT",9,3,3,9,14,16,17,2,11
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,REAR TO FRONT,UNKNOWN,STRAIGHT ON HILLCREST,DIRT,HOLES,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",CELL PHONE USE OTHER THAN TEXTING,10,FATAL,18,3,1,1,15,24,9,4,7
NO PASSING,UNKNOWN,DUSK,OVERTURNED,UNKNOWN,STRAIGHT ON GRADE,MUD,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",TEXTING,3,INCAPACITATING INJURY,11,1,0,6,5,11,21,1,12
OTHER WARNING SIGN,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,ROUN,CURVE ON HILLCREST,SAND,OTHER,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",ANIMAL,1,FATAL,5,2,4,16,10,17,9,6,1
RR CROSSING SIGN,SOIL,UNKNOWN,OVERTURNED,ROUN,LEVEL,SAND,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,IMPROPER OVERTAKING/PASSING,9,NONINCAPACITATING INJURY,4,0,6,1,12,43,15,1,4
BICYCLE CROSSING SIGN,SNOW,DUSK,REAR TO SIDE,NOT DIVIDED,LEVEL,DIRT,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISREGARDING STOP SIGN,9,"REPORTED, NOT EVIDENT",18,2,1,21,5,1,1,3,10
FLASHING CONTROL SIGNAL,FREEZING RAIN/DRIZZLE,DAWN,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,CURVE ON HILLCREST,MUD,RUT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,10,"REPORTED, NOT EVIDENT",6,2,4,3,9,28,5,2,10
OTHER WARNING SIGN,OTHER,DAYLIGHT,OTHER NONCOLLISION,DRIVEWAY,CURVE ON HILLCREST,OTHER,HOLES,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",FOLLOWING TOO CLOSELY,1,INCAPACITATING INJURY,18,1,6,9,2,32,4,4,11
NO PASSING,DIRT,UNKNOWN,PEDALCYCLIST,ROUN,CURVE ON GRADE,ICE,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",TURNING RIGHT ON RED,7,NO INDICATION OF INJURY,5,1,5,16,7,39,0,7,7
POLICE/FLAGMAN,CLEAR,DAYLIGHT,OTHER NONCOLLISION,PARKING LOT,STRAIGHT ON GRADE,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1,NONINCAPACITATING INJURY,18,1,6,2,4,10,10,4,12
BICYCLE CROSSING SIGN,DIRT,DARKNESS,REAR END,UNKNOWN,STRAIGHT AND LEVEL,DIRT,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",8,NO INDICATION OF INJURY,11,2,4,20,15,42,3,6,8
LANE USE MARKING,SLEET/HAIL,LIGHTED ROAD,OTHER OBJECT,ROUN,CURVE,WET,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",11,"REPORTED, NOT EVIDENT",5,0,7,8,3,18,3,3,4
